municipio,zona,tarifa_cup,activo,origen
Cotorro,Alberro Nuevo,3600,yes,BizneCubano verificado 2026-09-05
Cotorro,Alberro Viejo,3600,yes,BizneCubano verificado 2026-09-05
Cotorro,Alturas de Lotería,3500,yes,BizneCubano verificado 2026-09-05
Cotorro,Cruz Verde,3500,yes,BizneCubano verificado 2026-09-05
Cotorro,Dulce Nombre,3500,yes,BizneCubano verificado 2026-09-05
Cotorro,El Dique,3500,yes,BizneCubano verificado 2026-09-05
Cotorro,Finca Los Espiritistas,3500,yes,BizneCubano verificado 2026-09-05
Cotorro,La Caridad,3500,yes,BizneCubano verificado 2026-09-05
Cotorro,La Coubre,3500,yes,BizneCubano verificado 2026-09-05
Cotorro,La Granada,3500,yes,BizneCubano verificado 2026-09-05
Cotorro,La Purísima,3500,yes,BizneCubano verificado 2026-09-05
Cotorro,La Torre,3500,yes,BizneCubano verificado 2026-09-05
Cotorro,Las Delicias,3500,yes,BizneCubano verificado 2026-09-05
Cotorro,Las Granjas,3500,yes,BizneCubano verificado 2026-09-05
Cotorro,Magdalena-Torriente,3500,yes,BizneCubano verificado 2026-09-05
Cotorro,Modelo,3500,yes,BizneCubano verificado 2026-09-05
Cotorro,Paraíso,3500,yes,BizneCubano verificado 2026-09-05
Cotorro,San Pedro,3500,yes,BizneCubano verificado 2026-09-05
Cotorro,San Pedro-Centro Cotorro,3500,yes,BizneCubano verificado 2026-09-05
Cotorro,Santa Ana,3500,yes,BizneCubano verificado 2026-09-05
Cotorro,Torriente,3500,yes,BizneCubano verificado 2026-09-05
Cotorro,Vista Alegre,3500,yes,BizneCubano verificado 2026-09-05
Cotorro,Parajón,3500,yes,BizneCubano verificado 2026-09-05
Cotorro,Blanco,3500,yes,BizneCubano verificado 2026-09-05
Cotorro,La Lima,3500,yes,BizneCubano verificado 2026-09-05
Diez de Octubre,,1700,yes,BizneCubano verificado 2026-09-05
Diez de Octubre,Víbora,1700,yes,BizneCubano verificado 2026-09-05
Diez de Octubre,Santos Suárez,1600,yes,BizneCubano verificado 2026-09-05
Diez de Octubre,Lawton,2000,yes,BizneCubano verificado 2026-09-05
Diez de Octubre,Luyanó,1700,yes,BizneCubano verificado 2026-09-05
Diez de Octubre,Sevillano,1800,yes,BizneCubano verificado 2026-09-05
Diez de Octubre,Vista Alegre,2000,yes,BizneCubano verificado 2026-09-05
Diez de Octubre,Tamarindo,1600,yes,BizneCubano verificado 2026-09-05
Diez de Octubre,Mónaco,1650,yes,BizneCubano verificado 2026-09-05
Diez de Octubre,La Lira,1650,yes,BizneCubano verificado 2026-09-05
Guanabacoa,,3000,yes,BizneCubano verificado 2026-09-05
Guanabacoa,Guanabacoa,3000,yes,BizneCubano verificado 2026-09-05
Guanabacoa,Chibás,2600,yes,BizneCubano verificado 2026-09-05
Guanabacoa,D'Beche,2600,yes,BizneCubano verificado 2026-09-05
Guanabacoa,Minas,3400,yes,BizneCubano verificado 2026-09-05
Guanabacoa,Barreras,3800,yes,BizneCubano verificado 2026-09-05
Guanabacoa,La Jata,2400,yes,BizneCubano verificado 2026-09-05
Guanabacoa,Villa María,2500,yes,BizneCubano verificado 2026-09-05
Guanabacoa,Repollo,2700,yes,BizneCubano verificado 2026-09-05
Guanabacoa,Bacuranao,2900,yes,BizneCubano verificado 2026-09-05
Guanabacoa,La Gallega,3200,yes,BizneCubano verificado 2026-09-05
Guanabacoa,Aranguito,3700,yes,BizneCubano verificado 2026-09-05
Guanabacoa,Arango,3300,yes,BizneCubano verificado 2026-09-05
Guanabacoa,La Sepultura,2600,yes,BizneCubano verificado 2026-09-05
Guanabacoa,Naranjo,2400,yes,BizneCubano verificado 2026-09-05
Guanabacoa,Santa Fe,2700,yes,BizneCubano verificado 2026-09-05
Guanabacoa,El Roble,2400,yes,BizneCubano verificado 2026-09-05
Guanabacoa,Reparto Mañana,2000,yes,BizneCubano verificado 2026-09-05
Guanabacoa,Nalón,2400,yes,BizneCubano verificado 2026-09-05
Guanabacoa,Cruz de Piedra,2200,yes,BizneCubano verificado 2026-09-05
Guanabacoa,Campo Florido,3200,yes,BizneCubano verificado 2026-09-05
Guanabacoa,Reparto Vía Blanca,2600,yes,BizneCubano verificado 2026-09-05
Guanabacoa,Balero,2600,yes,BizneCubano verificado 2026-09-05
Guanabacoa,Rotonda de Shell,2600,yes,BizneCubano verificado 2026-09-05
Guanabacoa,Semáforo de Guanabacoa,2600,yes,BizneCubano verificado 2026-09-05
Guanabacoa,Habana Nueva,2100,yes,BizneCubano verificado 2026-09-05
Guanabacoa,Azotea,2100,yes,BizneCubano verificado 2026-09-05
Guanabacoa,Altura de Vía Blanca,2600,yes,BizneCubano verificado 2026-09-05
Guanabacoa,El Mikito,2600,yes,BizneCubano verificado 2026-09-05
Guanabacoa,La Lima,2600,yes,BizneCubano verificado 2026-09-05
Habana del Este,,3000,yes,BizneCubano verificado 2026-09-05
Habana del Este,Alamar,3500,yes,BizneCubano verificado 2026-09-05
Habana del Este,Cojímar,3000,yes,BizneCubano verificado 2026-09-05
Habana del Este,Guanabo,6000,yes,BizneCubano verificado 2026-09-05
Habana del Este,Camilo Cienfuegos,3500,yes,BizneCubano verificado 2026-09-05
Habana del Este,Guiteras,3000,yes,BizneCubano verificado 2026-09-05
Habana del Este,Antonio Guiteras,3000,yes,BizneCubano verificado 2026-09-05
Habana del Este,Bahía,3000,yes,BizneCubano verificado 2026-09-05
Habana del Este,Brisas del Mar,4500,yes,BizneCubano verificado 2026-09-05
Habana del Este,Campo Florido,4000,yes,BizneCubano verificado 2026-09-05
Habana del Este,Celimar,4500,yes,BizneCubano verificado 2026-09-05
Habana del Este,El Trébol,3500,yes,BizneCubano verificado 2026-09-05
Habana del Este,Peñas Altas,4500,yes,BizneCubano verificado 2026-09-05
Habana del Este,Playa del Este,4500,yes,BizneCubano verificado 2026-09-05
Habana del Este,Santa María del Mar,4500,yes,BizneCubano verificado 2026-09-05
Habana del Este,Tarará,4000,yes,BizneCubano verificado 2026-09-05
Habana del Este,Via Blanca,3500,yes,BizneCubano verificado 2026-09-05
Habana Vieja,,1600,yes,BizneCubano verificado 2026-09-05
Habana Vieja,Habana Vieja,1600,yes,BizneCubano verificado 2026-09-05
La Lisa,,2700,yes,BizneCubano verificado 2026-09-05
La Lisa,La Lisa,2700,yes,BizneCubano verificado 2026-09-05
La Lisa,Alturas de la Lisa,2300,yes,BizneCubano verificado 2026-09-05
La Lisa,Arroyo Arenas,2500,yes,BizneCubano verificado 2026-09-05
La Lisa,Punta Brava,3200,yes,BizneCubano verificado 2026-09-05
La Lisa,Arimao,2400,yes,BizneCubano verificado 2026-09-05
La Lisa,El Cano,2700,yes,BizneCubano verificado 2026-09-05
La Lisa,San Agustín,2500,yes,BizneCubano verificado 2026-09-05
La Lisa,La Coronela,2400,yes,BizneCubano verificado 2026-09-05
La Lisa,El Hueco,2000,yes,BizneCubano verificado 2026-09-05
La Lisa,El Pedregal,2100,yes,BizneCubano verificado 2026-09-05
La Lisa,Juan de Dios,2700,yes,BizneCubano verificado 2026-09-05
La Lisa,La Concepción,2900,yes,BizneCubano verificado 2026-09-05
La Lisa,XX Aniversario,3000,yes,BizneCubano verificado 2026-09-05
La Lisa,Valle Grande,3100,yes,BizneCubano verificado 2026-09-05
La Lisa,El Guatao,3300,yes,BizneCubano verificado 2026-09-05
La Lisa,Bello,2400,yes,BizneCubano verificado 2026-09-05
La Lisa,UCI,3100,yes,BizneCubano verificado 2026-09-05
La Lisa,Versalles,2000,yes,BizneCubano verificado 2026-09-05
La Lisa,La Vereda,2100,yes,BizneCubano verificado 2026-09-05
La Lisa,Novia del Mediodía,3300,yes,BizneCubano verificado 2026-09-05
La Lisa,El Morado,3300,yes,BizneCubano verificado 2026-09-05
Marianao,,2000,yes,BizneCubano verificado 2026-09-05
Marianao,Los Quemados,1800,yes,BizneCubano verificado 2026-09-05
Marianao,Pogolotti,1700,yes,BizneCubano verificado 2026-09-05
Marianao,Los Pocitos,1900,yes,BizneCubano verificado 2026-09-05
Marianao,Santa Felicia,1700,yes,BizneCubano verificado 2026-09-05
Marianao,El Palmar,2000,yes,BizneCubano verificado 2026-09-05
Marianao,Belén,1900,yes,BizneCubano verificado 2026-09-05
Marianao,Zamora,1800,yes,BizneCubano verificado 2026-09-05
Marianao,Coco Solo,1900,yes,BizneCubano verificado 2026-09-05
Marianao,Finlay,1700,yes,BizneCubano verificado 2026-09-05
Marianao,Los Ángeles,1900,yes,BizneCubano verificado 2026-09-05
Marianao,Ceiba (Puentes Grandes),1800,yes,BizneCubano verificado 2026-09-05
Marianao,Cujae,2000,yes,BizneCubano verificado 2026-09-05
Marianao,Marianao,2000,yes,BizneCubano verificado 2026-09-05
Marianao,Avenida 35,1900,yes,BizneCubano verificado 2026-09-05
Marianao,Avenida 25,1900,yes,BizneCubano verificado 2026-09-05
Playa,,1800,yes,BizneCubano verificado 2026-09-05
Playa,Miramar,1800,yes,BizneCubano verificado 2026-09-05
Playa,Buenavista,1600,yes,BizneCubano verificado 2026-09-05
Playa,La Ceiba,1600,yes,BizneCubano verificado 2026-09-05
Playa,La Sierra,1600,yes,BizneCubano verificado 2026-09-05
Playa,Kholi,1600,yes,BizneCubano verificado 2026-09-05
Playa,Siboney,2300,yes,BizneCubano verificado 2026-09-05
Playa,Atabey,2300,yes,BizneCubano verificado 2026-09-05
Playa,Santa Fe,2800,yes,BizneCubano verificado 2026-09-05
Playa,Jaimanitas,2500,yes,BizneCubano verificado 2026-09-05
Playa,Flores,2200,yes,BizneCubano verificado 2026-09-05
Playa,Almendares,1600,yes,BizneCubano verificado 2026-09-05
Playa,El Bosque,1600,yes,BizneCubano verificado 2026-09-05
Playa,Paradero de Playa,2000,yes,BizneCubano verificado 2026-09-05
Playa,Náutico,2000,yes,BizneCubano verificado 2026-09-05
Playa,Puente Grande,1600,yes,BizneCubano verificado 2026-09-05
Playa,La ELAM,3000,yes,BizneCubano verificado 2026-09-05
Playa,Barbosa,2700,yes,BizneCubano verificado 2026-09-05
Playa,Cubanacan,1900,yes,BizneCubano verificado 2026-09-05
Playa,El Basurero,2000,yes,BizneCubano verificado 2026-09-05
Playa,Los Sitios,2000,yes,BizneCubano verificado 2026-09-05
Playa,Romerillo,1800,yes,BizneCubano verificado 2026-09-05
Playa,Jesús María,2000,yes,BizneCubano verificado 2026-09-05
Playa,Reparto Juan Manual Marques,2800,yes,BizneCubano verificado 2026-09-05
Playa,Loma Tanque,2200,yes,BizneCubano verificado 2026-09-05
Playa,Ramirito,2000,yes,BizneCubano verificado 2026-09-05
Playa,Marina Hemingway,2400,yes,BizneCubano verificado 2026-09-05
Playa,El Bote,2300,yes,BizneCubano verificado 2026-09-05
Playa,El Náutico,2000,yes,BizneCubano verificado 2026-09-05
Playa,Fanguito,1800,yes,BizneCubano verificado 2026-09-05
Playa,Lido,1700,yes,BizneCubano verificado 2026-09-05
Playa,Playa,1800,yes,BizneCubano verificado 2026-09-05
Playa,Reparto Cubanacan,1900,yes,BizneCubano verificado 2026-09-05
Playa,Cangrejera,2800,yes,BizneCubano verificado 2026-09-05
Plaza de la Revolución,,1500,yes,BizneCubano verificado 2026-09-05
Regla,,3100,yes,BizneCubano verificado 2026-09-05
Regla,Regla,3100,yes,BizneCubano verificado 2026-09-05
Regla,Casablanca,4500,yes,BizneCubano verificado 2026-09-05
San Miguel del Padrón,,3700,yes,BizneCubano verificado 2026-09-05
San Miguel del Padrón,San Miguel,3700,yes,BizneCubano verificado 2026-09-05
San Miguel del Padrón,Diezmero,3500,yes,BizneCubano verificado 2026-09-05
San Miguel del Padrón,Alturas de Luyanó,3400,yes,BizneCubano verificado 2026-09-05
San Miguel del Padrón,Rocafort,3000,yes,BizneCubano verificado 2026-09-05
San Miguel del Padrón,San Francisco de Paula,3700,yes,BizneCubano verificado 2026-09-05
San Miguel del Padrón,Jacomino,3500,yes,BizneCubano verificado 2026-09-05
San Miguel del Padrón,California,3500,yes,BizneCubano verificado 2026-09-05
San Miguel del Padrón,Juanelo,3500,yes,BizneCubano verificado 2026-09-05
San Miguel del Padrón,La Rosalía,3500,yes,BizneCubano verificado 2026-09-05
San Miguel del Padrón,La Fernanda,3500,yes,BizneCubano verificado 2026-09-05
San Miguel del Padrón,María Luisa,3500,yes,BizneCubano verificado 2026-09-05
San Miguel del Padrón,Bella Vista,3700,yes,BizneCubano verificado 2026-09-05
San Miguel del Padrón,La Prosperidad,3400,yes,BizneCubano verificado 2026-09-05
San Miguel del Padrón,Reboledo,3900,yes,BizneCubano verificado 2026-09-05
San Miguel del Padrón,Tejas,3400,yes,BizneCubano verificado 2026-09-05
San Miguel del Padrón,La Cuevita,3400,yes,BizneCubano verificado 2026-09-05
San Miguel del Padrón,Virgen del Camino,2900,yes,BizneCubano verificado 2026-09-05
San Miguel del Padrón,Barrio Obrero,3000,yes,BizneCubano verificado 2026-09-05
San Miguel del Padrón,Balear,3000,yes,BizneCubano verificado 2026-09-05
San Miguel del Padrón,La cumbre,3400,yes,BizneCubano verificado 2026-09-05
San Miguel del Padrón,Caballo Blanco,3200,yes,BizneCubano verificado 2026-09-05
San Miguel del Padrón,Monterrey,3500,yes,BizneCubano verificado 2026-09-05
San Miguel del Padrón,Ciudamar,3300,yes,BizneCubano verificado 2026-09-05
San Miguel del Padrón,Ruta 12,3400,yes,BizneCubano verificado 2026-09-05
San Miguel del Padrón,Doble vía,3400,yes,BizneCubano verificado 2026-09-05
San Miguel del Padrón,San matias,3300,yes,BizneCubano verificado 2026-09-05
San Miguel del Padrón,Dolores,3300,yes,BizneCubano verificado 2026-09-05
San Miguel del Padrón,La corea,3400,yes,BizneCubano verificado 2026-09-05
San Miguel del Padrón,La core,3400,yes,BizneCubano verificado 2026-09-05
San Miguel del Padrón,Vista hermosa,3400,yes,BizneCubano verificado 2026-09-05
San Miguel del Padrón,Mirta,3500,yes,BizneCubano verificado 2026-09-05
San Miguel del Padrón,Las palmas,3500,yes,BizneCubano verificado 2026-09-05
San Miguel del Padrón,La rosita,3500,yes,BizneCubano verificado 2026-09-05
